drug_id,dci,position
1,Aide acétylsalicylique,1
1,Vitamine B1,2
1,Vitamine C,3
2,Acide acetylsalicylique,1
2,Vitamine C,2
2,Vitamine B1,3
3,Aripiprazole,1
4,Abiraterone,1
5,Abiratérone,1
6,Fentanyl,1
7,Fentanyl,1
8,Fentanyl,1
9,Argile,1
9,Charbon végétal,2
10,"Tensioactifs doux (sodium acylsarcosinate et sucrose ester), agent humectant, colorant d'origine végétale, excipients qsp 100 %. Formule colorée sans conservateur, d'origine naturelle.",1
11,Paracetamol,1
11,Thiocolchicoside,2
12,Acide folique,1
13,Aciclovir,1
14,Aciclovir,1
15,Aciclovir,1
16,Alendronate,1
17,Acide zolédronique,1
18,Acide zolédronique,1
19,Acide zolédronique,1
20,Acide tiaprofénique,1
21,Acide tiaprofénique,1
22,Acide zolédronique,1
23,Amoxicilline,1
23,Acide clavulanique,2
24,Amoxicilline,1
24,Acide clavulanique,2
25,Amoxicilline,1
25,Acide clavulanique,2
26,Amoxicilline,1
26,Acide clavulanique,2
27,Amoxicilline,1
27,Acide clavulanique,2
28,Amoxicilline,1
28,Acide clavulanique,2
29,Amoxicilline,1
29,Acide clavulanique,2
30,Amoxicilline,1
30,Acide clavulanique,2
31,Amoxicilline,1
31,Acide clavulanique,2
32,Amoxicilline,1
32,Acide clavulanique,2
33,Amoxicilline,1
33,Acide clavulanique,2
34,Amoxicilline,1
34,Acide clavulanique,2
35,Amoxicilline,1
35,Acide clavulanique,2
36,Isotrétinoïne,1
37,Isotrétinoïne,1
38,Isotrétinoïne,1
39,Isotrétinoïne,1
40,Metformine,1
41,Lévonorgestrel,1
42,Vaccin Haemophilus Type B Conjugué,1
43,Donépezil,1
44,Donépezil,1
45,Charbon végétal,1
45,saccharomyces Boulardii,2
45,inuline,3
46,Tocilizumab,1
47,Tocilizumab,1
48,Tocilizumab,1
49,Tocilizumab,1
50,Charbon activé,1
50,Papavérine,2
51,"Charbon Actif, extrait sec de gingembre, extrait sec de fenouil, extrait sec de mélisse, stéarate de magnésium, gélule d’origine bovine Halal.",1
52,"Charbon Actif, extrait sec de rhubarbe, extrait sec de guimauve, extrait sec de fenouil, extrait sec de séné, gélule d’origine bovine Halal.",1
53,Probiotiques et prébiotiques,1
54,Sirop d'agave,1
54,figue,2
54,pruneau,3
54,artichaut,4
54,tamarin,5
54,rhubarbe,6
55,Sirop d'agave,1
55,figue,2
55,pruneau,3
55,artichaut,4
55,tamarin,5
55,rhubarbe,6
56,Insuline Humaine Biogénétique,1
57,Vitamine B9,1
57,Acide folique,2
58,Vitamine D,1
59,Carboplatine,1
60,Carboplatine,1
61,Néfopam,1
62,Paclitaxel,1
63,"ANATOXINE TETANIQUE, ANATOXINE DIPHTERIQUE, VACCIN ANTICOQUELUCHEUX ACELLULAIRE",1
64,Magnésium,1
65,Vitamines,1
65,Minéraux,2
65,Oligo-éléments,3
66,Multivitamines,1
66,Minéraux,2
66,Oligo-éléments,3
67,Alfuzosine,1
68,Alfuzosine,1
69,Lévonorgestrel,1
69,Ethinylestradiol,2
70,Centella asiatica,1
70,Calendula,2
70,Élastine,3
71,DOCETAXEL,1
72,DOCETAXEL,1
73,Metformine,1
74,Metformine,1
75,Metformine,1
76,Metformine,1
