dci_a,dci_b,level_fr,severity,mechanism,recommendation
ABATACEPT,ANTI-TNF ALPHA,Association déconseillée,MAJOR,Majoration de l’immunodépression.,
ABATACEPT,VACCINS VIVANTS ATTÉNUÉS,Association déconseillée,MAJOR,"Risque de maladie vaccinale généralisée, éventuellement mortelle.",ainsi que pendant les 3 mois suivant l'arrêt du traitement.
ABIRATERONE,INDUCTEURS ENZYMATIQUES PUISSANTS,Association déconseillée,MAJOR,"Diminution notable des concentrations plasmatiques de l’abiratérone, avec risque de moindre efficacité.",
ABIRATERONE,METOPROLOL,Précaution d'emploi,MODERATE,"Chez l'insuffisant cardiaque, risque d'augmentation des effets indésirables du métoprolol, par diminution de son métabolisme hépatique par l'abiratérone.","Surveillance clinique. Si besoin, adaptation de la posologie du métoprolol pendant le traitement par l'abiratérone."
ABIRATERONE,PROPAFENONE,Précaution d'emploi,MODERATE,"Risque d'augmentation des effets indésirables de la propafénone, par diminution de son métabolisme hépatique par l'abiratérone.","Surveillance clinique. Si besoin, adaptation de la posologie de la propafénone pendant le traitement par l'abiratérone."
ABIRATERONE,RIFAMPICINE,Association déconseillée,MAJOR,"Diminution notable des concentrations plasmatiques de l’abiratérone, avec risque de moindre efficacité.",
ABROCITINIB,FLUCONAZOLE,Précaution d'emploi,MODERATE,Risque de majoration des effets indésirables de l’abrocitinib par diminution de son métabolisme.,Réduire la posologie de l’abrocitinib de moitié en cas de traitement par le fluconazole.
ABROCITINIB,FLUVOXAMINE,Précaution d'emploi,MODERATE,Risque de majoration des effets indésirables de l’abrocitinib par diminution de son métabolisme.,Réduire la posologie de l’abrocitinib de moitié en cas de traitement par la fluvoxamine.
ACETAZOLAMIDE,ACIDE ACETYLSALICYLIQUE,Association déconseillée,MAJOR,"Majoration des effets indésirables, et notamment de l'acidose métabolique, de l'acide acétylsalicylique à doses élevées et de l'acétazolamide, par diminution de l'élimination de l'acide acétylsalicylique par l'acétazolamide.",
ACETAZOLAMIDE,CARBAMAZEPINE,Précaution d'emploi,MODERATE,Augmentation des concentrations plasmatiques de carbamazépine avec signes de surdosage.,"Surveillance clinique et, si besoin, contrôle des concentrations plasmatiques de carbamazépine et réduction éventuelle de sa posologie."
ACETAZOLAMIDE,LITHIUM,Précaution d'emploi,MODERATE,Diminution de la lithémie avec risque de baisse de l’efficacité thérapeutique.,Surveillance stricte de la lithémie et adaptation éventuelle de la posologie du lithium.
ACETAZOLAMIDE,"VALPROÏQUE (ACIDE) ET, PAR EXTRAPOLATION, VALPROMIDE",Précaution d'emploi,MODERATE,"Augmentation de l'hyperammoniémie, avec risque accru d'encéphalopathie. 3",Surveillance clinique et biologique régulière.
ACIDE ACETOHYDROXAMIQUE,FER,À prendre en compte,MINOR,Diminution de l'absorption digestive de ces deux médicaments par chélation du fer.,
ACIDE ACETYLSALICYLIQUE,ACETAZOLAMIDE,Association déconseillée,MAJOR,"Majoration des effets indésirables, et notamment de l'acidose métabolique, de l'acide acétylsalicylique à doses élevées et de l'acétazolamide, par diminution de l'élimination de l'acide acétylsalicylique par l'acétazolamide.",
ACIDE ACETYLSALICYLIQUE,ANTICOAGULANTS ORAUX,Association déconseillée,MAJOR,"Majoration du risque hémorragique, notamment en cas d’antécédent d’ulcère gastro-duodénal.","Contre-indication avec : - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) et en cas d’antécédent d’ulcère gastro-duodénal Association déconseillée avec : - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) en l'absence d’antécédent d’ulcère gastro-duodénal - des doses antiagrégantes (de 50 mg à 375 mg par jour) et en cas d’antécédent d’ulcère gastro-duodénal. Nécessité d'un contrôle le cas échéant, en particulier du temps de saignement. A prendre en compte avec : - des doses antiagrégantes (de 50 mg à 375 mg par jour)"
ACIDE ACETYLSALICYLIQUE,CLOPIDOGREL,Association déconseillée,MAJOR,Majoration du risque hémorragique par addition des activités antiagrégantes plaquettaires.,Association déconseillée : - en dehors des indications validées pour cette association dans les syndromes coronariens aigus. Précaution d'emploi : - dans les indications validées pour cette association dans les syndromes coronariens aigus. Surveillance clinique.
ACIDE ACETYLSALICYLIQUE,DEFERASIROX,À prendre en compte,MINOR,Majoration du risque ulcérogène et hémorragique digestif.,A prendre en compte : - Pour des doses anti-inflammatoires d'acide acétylsalicylique (1g par prise et/ou 3g par jour) - Pour des doses antalgiques ou antipyrétiques d'acide acétylsalicylique (500 mg par prise et/ou <3g par jour) et (500 mg par prise et/ou <3g par jour)
ACIDE ACETYLSALICYLIQUE,DIURÉTIQUES,Précaution d'emploi,MODERATE,"Pour des doses anti-inflammatoires d'acide acétylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyrétiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, avec une fonction rénale altérée), par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur. 4",Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l’association.
ACIDE ACETYLSALICYLIQUE,HÉPARINES (DOSES CURATIVES ET/OU SUJET ÂGÉ),Association déconseillée,MAJOR,Augmentation du risque hémorragique (inhibition de la fonction plaquettaire et agression de la muqueuse gastroduodénale par l’acide acétylsalicylique.,Association déconseillée avec : - des doses anti-inflammatoires d'acide acétylsalicylique (>=1g par prise et/ou >=3g par jour) - des doses antalgiques ou antipyrétiques (>=500 mg par prise et/ou <3g par jour) Utiliser un autre anti-inflammatoire ou un autre antalgique ou antipyrétique. A prendre en compte avec : - des doses antiagrégantes (de 50 mg à 375 mg par jour).
ACIDE ACETYLSALICYLIQUE,HÉPARINES (DOSES PRÉVENTIVES),À prendre en compte,MINOR,"L’utilisation conjointe de médicaments agissant à divers niveaux de l’hémostase majore le risque de saignement. Ainsi, chez le sujet de moins de 65 ans, l’association de l'héparine à doses préventives, ou de substances apparentées, à l’acide acétylsalicylique, quelle que soit la dose, doit être prise en compte en maintenant une surveillance clinique et éventuellement biologique.",
ACIDE ACETYLSALICYLIQUE,INHIBITEURS DE L'ENZYME DE CONVERSION,Précaution d'emploi,MODERATE,"Pour des doses anti-inflammatoires d'acide acétylsalicylique (>= 1g par prise et/ou >= 3g par jour) ou pour des doses antalgiques ou antipyrétiques (>= 500 mg par prise et/ou < 3g par jour) : Insuffisance rénale aiguë chez le patient à risque (âgé, déshydraté, sous diurétiques, avec une fonction rénale altérée), par diminution de la filtration glomérulaire secondaire à une diminution de la synthèse des prostaglandines rénales. Par ailleurs, réduction de l'effet antihypertenseur.",Hydrater le malade et surveiller la fonction rénale en début de traitement et régulièrement pendant l’association.
ACIDE ACETYLSALICYLIQUE,METHOTREXATE,Précaution d'emploi,MODERATE,"Majoration de la toxicité, notamment hématologique, du méthotrexate (diminution de sa clairance rénale par l'acide acétylsalicylique).","Avec le méthotrexate utilisé à des doses > 20 mg/semaine : - contre-indication avec l'acide acétylsalicylique utilisé à doses antalgiques, antipyrétiques ou anti-inflammatoires - précaution d'emploi avec des doses antiagrégantes plaquettaires d'acide acétylsalicylique. Contrôle hebdomadaire de l’hémogramme durant les premières semaines de l’association. Surveillance accrue en cas d’altération (même légère) de la fonction rénale, ainsi que chez le sujet âgé. Avec le méthotrexate utilisé à des doses =< 20 mg/semaine : - précaution d'emploi avec l'acide acétylsalicylique utilisé à doses antalgiques, antipyrétiques ou anti-inflammatoires. Contrôle hebdomadaire de l’hémogramme durant les premières semaines de l’association. Surveillance accrue en cas d’altération (même légère) de la fonction rénale, ainsi que chez le sujet âgé."
ACIDE ACETYLSALICYLIQUE,NICORANDIL,Association déconseillée,MAJOR,Majoration du risque ulcérogène et hémorragique digestif.,
ACIDE ACETYLSALICYLIQUE,PEMETREXED,Association déconseillée,MAJOR,Risque de majoration de la toxicité du pemetrexed (diminution de sa clairance rénale par l’acide acétylsalicylique à doses anti- inflammatoires).,Association déconseillée : - en cas de fonction rénale faible à modérée . Précaution d'emploi : - en cas de fonction rénale normale. Surveillance biologique de la fonction rénale.
