drug_name,Présentation,Dosage,Distributeur ou fabriquant,Composition,Classe thérapeutique,Statut,Code ATC,PPV,Prix hospitalier,Tableau,Notice en français,Nature du Produit,Indication(s),Substance (s) psychoactive (s),Princeps,Mises en garde,Contres-indication(s),Posologies et mode d'administration,Risque potentiel de dépendance ou d’abus,PPC,Boîte,Grossesse,Allaitement,Effets indésirable,Conservation,Lien du Produit,Laboratoire détenteur de l'AMM dans le pays d'origine,Age minimal d'utilisation,Particularité,AO,Export,Tiers Payant,Convention de Vienne,RCP,Liens de redirection,Notice en arabe
"A.V.T. , Comprimé effervescent",Boite de 20,0.5 G | 0.002 G | 0.02 G,LAPROPHAN,Aide acétylsalicylique | Vitamine B1 | Vitamine C,"Analgésique , antipyrétique",Commercialisé,N02BA01,19.10 dhs,12.00 dhs,Aucun,Cliquez ici,Médicament,,,,,,,,,,,,,,,,,,,,,,,,
"A.V.T. , Comprimé effervescent",Boîte de 10,500 MG | 0.02 G | 0.02 G,LAPROPHAN,Acide acetylsalicylique | Vitamine C | Vitamine B1,"Analgésique , antipyrétique",Commercialisé,N02BA51,10.70 dhs,6.70 dhs,Aucun,,Médicament,,,,,,,,,,,,,,,,,,,,,,,,
"ABIP 15 MG, Comprimé pelliculé [P]",Boite de 30,15 MG,SUN PHARMACEUTICALS NORTH AFRICA S.A,Aripiprazole,Neuroleptique atypique,Commercialisé,N05AX12,372.00 dhs,247.00 dhs,A,,,"L’aripiprazole est indiqué dans le traitement de la schizophrénie chez les adultes et les adolescents âgé de 15 ans ou plus. L’aripiprazole est indiqué dans le traitement des épisodes maniaques modérés à sévères des troubles bipolaires de type I et dans la prévention de récidives d’épisodes maniaques chez l'adulte ayant présenté des épisodes à prédominance maniaque et pour qui les épisodes maniaques ont répondu à un traitement par l’aripiprazole. L’aripiprazole est indiqué dans le traitement des épisodes maniaques modérés à sévères des troubles bipolaires de type I chez l'adolescent âgé de 13 ans ou plus pour une durée allant jusqu’à 12 semaines.
Traitement des épisodes maniaques modérés à sévères des troubles bipolaires de type I chez l'adolescent âgé de 13 ans ou plus",Oui,,,,,,,,,,,,,,,,,,,,,,
"ABIRANAT 250 MG, Comprimé",Boite d'un flacon de 120,250 MG,AMANYS PHARMA (Ex SAHAM PHARMA),Abiraterone,"Endocrinothérapie, autres antagonistes hormonaux et agents apparentés",Commercialisé,L02BX03,10411.00 dhs,10215.00 dhs,A,,,"Indiqué en association avec la prednisone ou la prednisolone dans :
- le traitement du cancer métastatique de la prostate hormono-sensible (mHSPC) à haut risque
nouvellement diagnostiqué chez les hommes adultes, en association avec un traitement par
suppression androgénique (ADT) (voir rubrique 5.1)
- le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC) chez les
hommes adultes asymptomatiques ou peu symptomatiques, après échec d’un traitement par
suppression androgénique et pour lesquels la chimiothérapie n’est pas encore cliniquement
indiquée (voir rubrique 5.1)
- le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC) chez les
hommes adultes dont la maladie a progressé pendant ou après une chimiothérapie à base de
docétaxel.",,,,,,,,,,,,,,,,,,,,,,,
"ABIRATERONE GT 250 MG, Comprimé",Boite de 120,250 MG,ATLAS PHARM,Abiratérone,"Antinéoplasique, inhibiteur de la biosynthèse des androgènes (inhibiteur du CYP17A1)",Commercialisé,L02BX0,10411.00 dhs,10215.00 dhs,A,,,"Indiqué en association avec la prednisone ou la prednisolone dans :
- le traitement du cancer métastatique de la prostate hormono-sensible (mHSPC) à haut risque nouvellement diagnostiqué chez les hommes adultes, en association avec un traitement par suppression androgénique (ADT).

- le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC) chez les hommes adultes asymptomatiques ou peu symptomatiques, après échec d’un traitement par suppression androgénique et pour lesquels la chimiothérapie n’est pas encore cliniquement indiquée.

- le traitement du cancer métastatique de la prostate résistant à la castration (mCRPC) chez les hommes adultes dont la maladie a progressé pendant ou après une chimiothérapie à base de docétaxel.",,,,,,,,,,,,,,,,,,,,,,,
"ABSTRAL 100 µG, Comprimé sublingual [P] [SS]",Boite de 10,100 µG,SOTHEMA,Fentanyl,Antalgiques opioïdes,Commercialisé,N02AB03,876.00 dhs,582.00 dhs,B,,Médicament,Traitement des accès douloureux paroxystiques chez les patients adultes utilisant des morphiniques pour traiter les douleurs chroniques d’origine cancéreuse. L’accès douloureux paroxystique est une exacerbation passagère d’une douleur chronique par ailleurs contrôlée par un traitement de fond.,Oui,Oui,"Les patients et le personnel soignant doivent être informés qu‘ABSTRAL contient une substance active à une dose qui peut être mortelle pour un enfant. Par conséquent, tous les comprimés doivent être conservés hors de la portée et de la vue des enfants.
En raison des effets indésirables potentiellement graves des traitements morphiniques comme ABSTRAL, les patients et le personnel soignant doivent être informés de l’importance de la prise correcte d‘ABSTRAL et informés des mesures à prendre en présence de symptômes de surdosage.
Avant l’instauration d‘ABSTRAL, le traitement morphinique à longue durée d’action utilisé pour contrôler la douleur chronique doit avoir été stabilisé.
ABSTRAL n’a pas été étudié chez les patients présentant des lésions buccales ou une mucite. Un risque d’augmentation de l’exposition systémique au médicament peut exister chez ces patients et une prudence particulière est donc recommandée pendant la titration.
La suspension du traitement par ABSTRAL ne devrait pas entraîner d’effet notable, mais les symptômes possibles de sevrage incluent : anxiété, tremblements, sueurs, pâleur, nausées et vomissements.
Comme avec les autres morphiniques, en cas de contrôle insuffisant de la douleur en réponse à une augmentation de dose en fentanyl, la possibilité d’une hyperalgie induite par les morphiniques est à envisager. Une diminution de la dose en fentanyl, une suspension du traitement ou une réévaluation du traitement est recommandée.
Accoutumance, dépendance
Une accoutumance et une dépendance physique et/ou psychologique sont susceptibles d’apparaître lors de l’administration répétée de morphiniques tels que le fentanyl. L’addiction iatrogénique aux opioïdes est connue.
Dépression respiratoire
Comme tous les morphiniques, ABSTRAL est associé à un risque de dépression respiratoire cliniquement significative. La phase de titration doit être réalisée avec une prudence particulière chez les patients atteints de broncho-pneumopathie chronique obstructive ou d’une autre pathologie (par ex. : myasthénie grave) les prédisposant à une dépression respiratoire, en raison de la majoration du risque de dépression respiratoire pouvant entraîner un arrêt respiratoire.
Augmentation de la pression intracrânienne, troubles de la conscience
ABSTRAL ne doit être administré qu’avec une extrême prudence aux patients susceptibles de présenter une sensibilité particulière aux effets cérébraux de l’hypercapnie, comme les patients présentant des signes d’hypertension intracrânienne, des troubles de la conscience, un coma ou des tumeurs cérébrales. Les morphiniques pouvant masquer l’évolution clinique chez les patients atteints de traumatismes crâniens, ils ne doivent être utilisés dans ce cadre qu’en cas d’absolue nécessité.
Pathologie cardiaque
Le fentanyl peut provoquer une bradycardie. Il doit être utilisé avec prudence chez les patients présentant des antécédents de bradyarythmie ou une bradyarythmie préexistante.
Patients âgés
Les données obtenues à la suite de l’administration intraveineuse de fentanyl suggèrent la possibilité d’une réduction de sa clairance et d’une augmentation de sa demi-vie chez les patients âgés, qui pourraient être plus sensibles à la substance active que les patients plus jeunes. Les patients âgés, cachectiques ou affaiblis doivent faire l’objet d’une surveillance attentive en cas d’apparition de signes de toxicité du fentanyl, entraînant si nécessaire une réduction de la dose.
Insuffisance rénale ou hépatique
ABSTRAL doit être administré avec prudence chez les patients présentant des troubles hépatiques ou rénaux, en particulier pendant la phase de titration. L’utilisation d‘ABSTRAL chez des patients insuffisants hépatiques ou rénaux pourrait augmenter la biodisponibilité du fentanyl et réduire sa clairance systémique, ce qui pourrait entraîner une augmentation et une prolongation des effets morphiniques.
Une prudence particulière doit être apportée au traitement des patients hypovolémiques ou hypotendus.
Syndrome sérotoninergique
Il est conseillé de faire preuve de prudence lorsqu’ABSTRAL est administré en association avec des médicaments qui affectent les systèmes de neurotransmission sérotoninergique.
Un syndrome sérotoninergique, susceptible de mettre en jeu le pronostic vital, peut se développer lors de l'utilisation concomitante de médicaments sérotoninergiques tels que des inhibiteurs sélectifs de la recapture de la sérotonine (ISRS) et des inhibiteurs de la recapture de la sérotonine et de la noradrénaline (IRSN), ainsi qu’avec des médicaments qui altèrent le métabolisme de la sérotonine (y compris les inhibiteurs de la monoamine oxydase [IMAO]). Cela peut se produire aux doses recommandées.
Le syndrome sérotoninergique peut s’accompagner d’altérations de l'état mental (p. ex. agitation, hallucinations, coma), d’une instabilité du système nerveux autonome (p. ex. tachycardie, pression artérielle labile, hyperthermie), de troubles neuromusculaires (p. ex. hyperréflexie, incoordination, rigidité) et/ou de symptômes gastro-intestinaux (p. ex. nausées, vomissements, diarrhée).
En cas de suspicion de syndrome sérotoninergique, il convient d’arrêter le traitement par ABSTRAL.","• Hypersensibilité à la substance active ou à l’un des excipients mentionnés à la rubrique composition.
• Patients non traités par un traitement de fond morphinique, en raison d’un risque accru de dépression respiratoire.
• Dépression respiratoire sévère ou pathologies pulmonaires obstructives sévères.
• Traitement de la douleur aiguë autre que les accès douloureux paroxystiques.","Posologie : ABSTRAL est réservé aux patients considérés comme tolérants au traitement morphinique de fond de la douleur cancéreuse chronique. Peuvent être considérés comme tolérants aux morphiniques les patients recevant au moins 60 mg de morphine par jour par voie orale, au moins 25 μg de fentanyl par heure par voie transdermique, au moins 30 mg d’oxycodone par jour par voie orale, au moins 8 mg d’hydromorphone par jour par voie orale ou une dose équianalgésique d’un autre morphinique depuis une semaine minimum.
Mode d'administration :
Mode d’administration
Les comprimés sublinguaux d’ABSTRAL doivent être placés directement sous la langue, le plus loin possible. Les comprimés sublinguaux d’ABSTRAL ne doivent pas être avalés, mais fondre complètement sous la langue, sans être mâchés ni sucés. Les patients doivent être informés qu’ils ne doivent pas manger ni boire avant dissolution complète du comprimé sublingual.
Les patients souffrant de sècheresse buccale peuvent utiliser de l’eau pour humidifier la muqueuse buccale avant la prise d’ABSTRAL.",Oui,,,,,,,,,,,,,,,,,
"ABSTRAL 200 µG, Comprimé sublingual [P] [SS]",Boite de 10,200 µG,SOTHEMA,Fentanyl,Antalgiques opioïdes,Commercialisé,N02AB03,876.00 dhs,582.00 dhs,B,,Médicament,"Chez l’adulte
DUROGESIC est indiqué dans le traitement des douleurs chroniques sévères qui nécessitent une administration continue au long cours d’opioïdes.

Chez l’enfant
Traitement au long cours des douleurs chroniques sévères chez les enfants à partir de 2 ans recevant un traitement par opioïdes.",Oui,Oui,,,,Oui,,,,,,,,,,,,,,,,,
"ABSTRAL 400 µG, Comprimé sublingual [P][SS]",Boite de 10,400 µG,SOTHEMA,Fentanyl,Antalgiques opioïdes,Commercialisé,N02AB03,876.00 dhs,582.00 dhs,B,,Médicament,Traitement des accès douloureux paroxystiques chez les patients adultes utilisant des morphiniques pour traiter les douleurs chroniques d’origine cancéreuse. L’accès douloureux paroxystique est une exacerbation passagère d’une douleur chronique par ailleurs contrôlée par un traitement de fond.,Oui,Oui,"Les patients et le personnel soignant doivent être informés qu‘ABSTRAL contient une substance active à une dose qui peut être mortelle pour un enfant. Par conséquent, tous les comprimés doivent être conservés hors de la portée et de la vue des enfants.
En raison des effets indésirables potentiellement graves des traitements morphiniques comme ABSTRAL, les patients et le personnel soignant doivent être informés de l’importance de la prise correcte d‘ABSTRAL et informés des mesures à prendre en présence de symptômes de surdosage.
Avant l’instauration d‘ABSTRAL, le traitement morphinique à longue durée d’action utilisé pour contrôler la douleur chronique doit avoir été stabilisé.
ABSTRAL n’a pas été étudié chez les patients présentant des lésions buccales ou une mucite. Un risque d’augmentation de l’exposition systémique au médicament peut exister chez ces patients et une prudence particulière est donc recommandée pendant la titration.
La suspension du traitement par ABSTRAL ne devrait pas entraîner d’effet notable, mais les symptômes possibles de sevrage incluent : anxiété, tremblements, sueurs, pâleur, nausées et vomissements.
Comme avec les autres morphiniques, en cas de contrôle insuffisant de la douleur en réponse à une augmentation de dose en fentanyl, la possibilité d’une hyperalgie induite par les morphiniques est à envisager. Une diminution de la dose en fentanyl, une suspension du traitement ou une réévaluation du traitement est recommandée.
Accoutumance, dépendance
Une accoutumance et une dépendance physique et/ou psychologique sont susceptibles d’apparaître lors de l’administration répétée de morphiniques tels que le fentanyl. L’addiction iatrogénique aux opioïdes est connue.
Dépression respiratoire
Comme tous les morphiniques, ABSTRAL est associé à un risque de dépression respiratoire cliniquement significative. La phase de titration doit être réalisée avec une prudence particulière chez les patients atteints de broncho-pneumopathie chronique obstructive ou d’une autre pathologie (par ex. : myasthénie grave) les prédisposant à une dépression respiratoire, en raison de la majoration du risque de dépression respiratoire pouvant entraîner un arrêt respiratoire.
Augmentation de la pression intracrânienne, troubles de la conscience
ABSTRAL ne doit être administré qu’avec une extrême prudence aux patients susceptibles de présenter une sensibilité particulière aux effets cérébraux de l’hypercapnie, comme les patients présentant des signes d’hypertension intracrânienne, des troubles de la conscience, un coma ou des tumeurs cérébrales. Les morphiniques pouvant masquer l’évolution clinique chez les patients atteints de traumatismes crâniens, ils ne doivent être utilisés dans ce cadre qu’en cas d’absolue nécessité.
Pathologie cardiaque
Le fentanyl peut provoquer une bradycardie. Il doit être utilisé avec prudence chez les patients présentant des antécédents de bradyarythmie ou une bradyarythmie préexistante.
Patients âgés
Les données obtenues à la suite de l’administration intraveineuse de fentanyl suggèrent la possibilité d’une réduction de sa clairance et d’une augmentation de sa demi-vie chez les patients âgés, qui pourraient être plus sensibles à la substance active que les patients plus jeunes. Les patients âgés, cachectiques ou affaiblis doivent faire l’objet d’une surveillance attentive en cas d’apparition de signes de toxicité du fentanyl, entraînant si nécessaire une réduction de la dose.
Insuffisance rénale ou hépatique
ABSTRAL doit être administré avec prudence chez les patients présentant des troubles hépatiques ou rénaux, en particulier pendant la phase de titration. L’utilisation d‘ABSTRAL chez des patients insuffisants hépatiques ou rénaux pourrait augmenter la biodisponibilité du fentanyl et réduire sa clairance systémique, ce qui pourrait entraîner une augmentation et une prolongation des effets morphiniques.
Une prudence particulière doit être apportée au traitement des patients hypovolémiques ou hypotendus.
Syndrome sérotoninergique
Il est conseillé de faire preuve de prudence lorsqu’ABSTRAL est administré en association avec des médicaments qui affectent les systèmes de neurotransmission sérotoninergique.
Un syndrome sérotoninergique, susceptible de mettre en jeu le pronostic vital, peut se développer lors de l'utilisation concomitante de médicaments sérotoninergiques tels que des inhibiteurs sélectifs de la recapture de la sérotonine (ISRS) et des inhibiteurs de la recapture de la sérotonine et de la noradrénaline (IRSN), ainsi qu’avec des médicaments qui altèrent le métabolisme de la sérotonine (y compris les inhibiteurs de la monoamine oxydase [IMAO]). Cela peut se produire aux doses recommandées.
Le syndrome sérotoninergique peut s’accompagner d’altérations de l'état mental (p. ex. agitation, hallucinations, coma), d’une instabilité du système nerveux autonome (p. ex. tachycardie, pression artérielle labile, hyperthermie), de troubles neuromusculaires (p. ex. hyperréflexie, incoordination, rigidité) et/ou de symptômes gastro-intestinaux (p. ex. nausées, vomissements, diarrhée).
En cas de suspicion de syndrome sérotoninergique, il convient d’arrêter le traitement par ABSTRAL.","• Hypersensibilité à la substance active ou à l’un des excipients mentionnés à la rubrique composition.
• Patients non traités par un traitement de fond morphinique, en raison d’un risque accru de dépression respiratoire.
• Dépression respiratoire sévère ou pathologies pulmonaires obstructives sévères.
• Traitement de la douleur aiguë autre que les accès douloureux paroxystiques.","Posologie : ABSTRAL est réservé aux patients considérés comme tolérants au traitement morphinique de fond de la douleur cancéreuse chronique. Peuvent être considérés comme tolérants aux morphiniques les patients recevant au moins 60 mg de morphine par jour par voie orale, au moins 25 μg de fentanyl par heure par voie transdermique, au moins 30 mg d’oxycodone par jour par voie orale, au moins 8 mg d’hydromorphone par jour par voie orale ou une dose équianalgésique d’un autre morphinique depuis une semaine minimum.
Mode d'administration :
Mode d’administration
Les comprimés sublinguaux d’ABSTRAL doivent être placés directement sous la langue, le plus loin possible. Les comprimés sublinguaux d’ABSTRAL ne doivent pas être avalés, mais fondre complètement sous la langue, sans être mâchés ni sucés. Les patients doivent être informés qu’ils ne doivent pas manger ni boire avant dissolution complète du comprimé sublingual.
Les patients souffrant de sècheresse buccale peuvent utiliser de l’eau pour humidifier la muqueuse buccale avant la prise d’ABSTRAL.",Oui,,,,,,,,,,,,,,,,,
"ACDigest, Gélule",Blister de 30,,NON RENSEIGNÉ,Argile | Charbon végétal,,Commercialisé,,,,,,Complément alimentaire,Lourdeur et ballonement,,,,,,,59.00 dhs,,,,,,,,,,,,,,,,
"ACERUMEN, Flacon unidose",10 flacons,,ZENITH PHARMA,"Tensioactifs doux (sodium acylsarcosinate et sucrose ester), agent humectant, colorant d'origine végétale, excipients qsp 100 %. Formule colorée sans conservateur, d'origine naturelle.",,Commercialisé,,,,Aucun,,Dispositif médical,"A-Cerumen est une solution douce d'hygiène auriculaire à base d'agents tensioactifs conseillée chez l'enfant à partir de 6 mois et l'adulte :
pour dissoudre les bouchons de cérumen ;
en usage régulier, pour faciliter l'élimination du cérumen et prévenir la formation des bouchons.
A-Cerumen va permettre d'humidifier puis de dissoudre les bouchons de cérumen (cérumen asséché et compacté). Une fois ce cérumen éliminé, le cérumen servant à la protection et à la lubrification va pouvoir être de nouveau sécrété afin de jouer son rôle.",,,,,,,58.00 dhs,,,,,,,,,,,,,,,,
